Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,height,width,distortion_model,D_0,D_1,D_2,D_3,D_4,K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,binning_x,binning_y,roi.x_offset,roi.y_offset,roi.height,roi.width,roi.do_rectify
1733857825.4354353,12306,1733857825,403060436,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.4686177,12307,1733857825,436406136,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.501737,12308,1733857825,469752789,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.535002,12309,1733857825,503098488,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.5686889,12310,1733857825,536445141,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.6069193,12311,1733857825,569790602,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.6402056,12312,1733857825,603137255,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.6712325,12313,1733857825,636482954,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.7074602,12314,1733857825,669829607,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.7407632,12315,1733857825,703176975,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
