Image Timestamp,Joint State Timestamp
1728711298.3435946,1728711286.8822787
1728711298.4095495,1728711286.903083
1728711298.4762468,1728711286.9233248
1728711298.5423546,1728711286.942992
1728711298.610929,1728711286.9643435
1728711298.673263,1728711286.984325
1728711298.7389684,1728711287.0041845
1728711298.8062892,1728711287.0244799
1728711298.872341,1728711287.0439653
1728711298.9398532,1728711287.0651505
1728711299.0060694,1728711287.086627
1728711299.072895,1728711287.1050603
1728711299.1425939,1728711287.1258216
1728711299.2088091,1728711287.145415
1728711299.2767334,1728711287.1660633
1728711299.3433955,1728711287.1865118
1728711299.4102163,1728711287.2058902
1728711299.4767988,1728711287.2266304
1728711299.5430944,1728711287.247222
1728711299.6098294,1728711287.267556
1728711299.6762695,1728711287.286927
1728711299.7426221,1728711287.3077865
1728711299.810909,1728711287.3268454
1728711299.8781798,1728711287.3476067
1728711299.9443247,1728711287.368948
1728711300.0086076,1728711287.378193
1728711300.0743086,1728711287.4078984
1728711300.1413448,1728711287.4188218
1728711300.207762,1728711287.4379714
1728711300.2741978,1728711287.4585023
1728711300.3402722,1728711287.4783401
1728711300.4076812,1728711287.4985893
1728711300.4735847,1728711287.5189211
1728711300.5403302,1728711287.5389814
1728711300.6072125,1728711287.5595386
1728711300.6742578,1728711287.579151
1728711300.743075,1728711287.5997493
1728711300.8101742,1728711287.619674
1728711300.8779297,1728711287.6404088
1728711300.9438212,1728711287.659996
1728711301.0096443,1728711287.6801221
1728711301.0764902,1728711287.70089
1728711301.1441329,1728711287.7205822
1728711301.2094097,1728711287.741386
,1728711287.761691
,1728711287.7820587
,1728711287.8022196
,1728711287.8215547
,1728711287.8423686
,1728711287.862535
,1728711287.8824353
,1728711287.9031525
,1728711287.9228606
,1728711287.9430945
,1728711287.963323
,1728711287.9832957
,1728711288.0033011
,1728711288.0238924
,1728711288.044218
,1728711288.0638769
,1728711288.0843263
,1728711288.1051934
,1728711288.1249285
,1728711288.1446075
,1728711288.1655104
,1728711288.1855931
,1728711288.2056737
,1728711288.2258945
,1728711288.246355
,1728711288.2663357
,1728711288.2868433
,1728711288.3068275
,1728711288.327208
,1728711288.3477821
,1728711288.3673978
,1728711288.3871236
,1728711288.4080417
,1728711288.428245
,1728711288.4385192
,1728711288.4588282
,1728711288.4783232
,1728711288.499002
,1728711288.5189304
,1728711288.538588
,1728711288.5593004
,1728711288.5800169
,1728711288.5990844
,1728711288.6195178
,1728711288.639968
,1728711288.6599665
,1728711288.6797793
,1728711288.7005303
,1728711288.7208233
,1728711288.7403092
,1728711288.7615902
,1728711288.7814841
,1728711288.8020735
,1728711288.8213768
,1728711288.842139
,1728711288.8617418
,1728711288.881838
,1728711288.9025762
,1728711288.9229722
,1728711288.9428341
,1728711288.9634006
,1728711288.985102
,1728711289.0052664
,1728711289.0245163
,1728711289.044797
,1728711289.065544
,1728711289.085712
,1728711289.1061976
,1728711289.1263728
,1728711289.1463935
,1728711289.166467
,1728711289.1870625
,1728711289.206898
,1728711289.227031
,1728711289.2468731
,1728711289.26793
,1728711289.2870398
,1728711289.3079977
,1728711289.3283243
,1728711289.3385592
,1728711289.3584397
,1728711289.3881805
,1728711289.3980544
,1728711289.4192908
,1728711289.4388716
,1728711289.4594429
,1728711289.4796226
,1728711289.4997118
,1728711289.5196555
,1728711289.539906
,1728711289.5608418
,1728711289.5806298
,1728711289.600739
,1728711289.6204448
,1728711289.640631
,1728711289.6620164
,1728711289.6816099
,1728711289.7017095
,1728711289.7217617
,1728711289.7421799
,1728711289.7621758
,1728711289.7824206
,1728711289.8048952
,1728711289.825155
,1728711289.8456283
,1728711289.8665898
,1728711289.8870318
,1728711289.9060001
,1728711289.9264612
,1728711289.94711
,1728711289.9673698
,1728711289.9877715
,1728711290.0078332
,1728711290.0282223
,1728711290.0478
,1728711290.0682876
,1728711290.078606
,1728711290.0989828
,1728711290.118304
,1728711290.1386552
,1728711290.1585817
,1728711290.1795743
,1728711290.1993623
,1728711290.2195795
,1728711290.2393665
,1728711290.2595084
,1728711290.2799358
,1728711290.3001702
,1728711290.3202958
,1728711290.3409283
,1728711290.3609252
,1728711290.381404
,1728711290.402161
,1728711290.4207892
,1728711290.4417808
,1728711290.461366
,1728711290.4823546
,1728711290.5025012
,1728711290.5231018
,1728711290.5430593
,1728711290.5629144
,1728711290.5843556
,1728711290.6036315
,1728711290.6237452
,1728711290.6441174
,1728711290.6646814
,1728711290.6846538
,1728711290.7050908
,1728711290.7252622
,1728711290.7446756
,1728711290.7646606
,1728711290.7851164
,1728711290.8052373
,1728711290.8252685
,1728711290.8465664
,1728711290.8658235
,1728711290.8867738
,1728711290.906189
,1728711290.9272263
,1728711290.9467874
,1728711290.9673722
,1728711290.987348
,1728711291.0076258
,1728711291.0276349
,1728711291.0485842
,1728711291.0586264
,1728711291.0883353
,1728711291.0995195
,1728711291.1193595
,1728711291.1391163
,1728711291.1595237
,1728711291.1795201
,1728711291.1994522
,1728711291.220088
,1728711291.2400541
,1728711291.2604735
,1728711291.2810802
,1728711291.301275
,1728711291.3213534
,1728711291.34107
,1728711291.36177
,1728711291.3816512
,1728711291.4028683
,1728711291.422559
,1728711291.443099
,1728711291.462635
,1728711291.4832973
,1728711291.5031807
,1728711291.523498
,1728711291.5439386
,1728711291.5651393
,1728711291.5847466
,1728711291.6045778
,1728711291.6251192
,1728711291.6455712
,1728711291.6654916
,1728711291.6858628
,1728711291.705479
,1728711291.7266803
,1728711291.7466156
,1728711291.766024
,1728711291.7872682
,1728711291.8072982
,1728711291.8278306
,1728711291.8479471
,1728711291.868214
,1728711291.8786006
,1728711291.8987298
,1728711291.918146
,1728711291.9393594
,1728711291.958821
,1728711291.9797492
,1728711291.9991748
,1728711292.0194373
,1728711292.041164
,1728711292.060536
,1728711292.0804498
,1728711292.1004634
,1728711292.1206203
,1728711292.1409497
,1728711292.1608145
,1728711292.1811562
,1728711292.202404
,1728711292.2213774
,1728711292.2424006
,1728711292.2620091
,1728711292.2821279
,1728711292.3020432
,1728711292.3223321
,1728711292.3427033
,1728711292.3629
,1728711292.3826063
,1728711292.4041438
,1728711292.4233801
,1728711292.4443479
,1728711292.4636242
,1728711292.4845405
,1728711292.5048892
,1728711292.5246925
,1728711292.5445397
,1728711292.5656123
,1728711292.5852
,1728711292.6057742
,1728711292.625326
,1728711292.6462207
,1728711292.665829
,1728711292.68636
,1728711292.7066214
,1728711292.7266176
,1728711292.7469342
,1728711292.767571
,1728711292.7868764
,1728711292.8083048
,1728711292.828119
,1728711292.8478994
,1728711292.8689618
,1728711292.8880875
,1728711292.8985388
,1728711292.918314
,1728711292.9388056
,1728711292.9592628
,1728711292.9788284
,1728711292.9993541
,1728711293.01948
,1728711293.0395026
,1728711293.0607889
,1728711293.080357
,1728711293.100921
,1728711293.1202154
,1728711293.1417372
,1728711293.161639
,1728711293.181404
,1728711293.2014978
,1728711293.221821
,1728711293.2420442
,1728711293.2624521
,1728711293.2826793
,1728711293.302184
,1728711293.3230922
,1728711293.3426125
,1728711293.3636372
,1728711293.3837473
,1728711293.404256
,1728711293.4242308
,1728711293.4445884
,1728711293.4650118
,1728711293.485054
,1728711293.5046644
,1728711293.5248878
,1728711293.545752
,1728711293.565169
,1728711293.585711
,1728711293.6057966
,1728711293.6253786
,1728711293.6455972
,1728711293.6668258
,1728711293.686951
,1728711293.7066927
,1728711293.7262065
,1728711293.746816
,1728711293.766943
,1728711293.7872572
,1728711293.8080142
,1728711293.8276923
,1728711293.847998
,1728711293.8680856
,1728711293.8880374
,1728711293.8989763
,1728711293.9185944
,1728711293.93891
,1728711293.9596546
,1728711293.97983
,1728711293.9992318
,1728711294.0196977
