timestamp,joint_states
1728711290.935614,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.0024192,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.0693312,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.1360147,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.2036,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.2702818,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.3370383,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.4041228,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.4705915,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.5369425,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.6040795,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.670239,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.7365613,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.803073,"0.5181134939193726, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711291.87025,"0.515534520149231, -0.9889861941337585, 0.7670210599899292, 0.506646990776062, 2.2308318614959717, -0.5907379388809204, -2.043787717819214"
1728711291.9371989,"0.5079182982444763, -0.9897167086601257, 0.7703824043273926, 0.507972002029419, 2.2318365573883057, -0.5865271687507629, -2.043787717819214"
1728711292.004567,"0.49700209498405457, -0.990894079208374, 0.775043785572052, 0.5116650462150574, 2.233579635620117, -0.5784679651260376, -2.043766736984253"
1728711292.0725584,"0.475394070148468, -0.9932237863540649, 0.7831700444221497, 0.5171873569488525, 2.236239194869995, -0.5641348361968994, -2.0427658557891846"
1728711292.1377568,"0.4571857154369354, -0.9952486753463745, 0.7904391884803772, 0.521712601184845, 2.2386627197265625, -0.5522676110267639, -2.040855884552002"
