timestamp,joint_states
1733857827.7096334,"-0.0671461746096611, -1.252265214920044, 0.7149960994720459, 0.3173518776893616, 0.23804889619350433, 0.8594472408294678, 0.08014091104269028"
1733857827.7437139,"-0.0671461746096611, -1.2517954111099243, 0.7142425179481506, 0.3173518776893616, 0.23826748132705688, 0.8594472408294678, 0.08013707399368286"
1733857827.7774851,"-0.06713850051164627, -1.2507580518722534, 0.7119320034980774, 0.3173518776893616, 0.23901721835136414, 0.8594261407852173, 0.07998942583799362"
1733857827.8107636,"-0.06704838573932648, -1.2484129667282104, 0.7062351703643799, 0.3173518776893616, 0.24081580340862274, 0.8586016297340393, 0.07681792229413986"
1733857827.8470433,"-0.06671665608882904, -1.2451475858688354, 0.6986726522445679, 0.3173518776893616, 0.24327592551708221, 0.8552843928337097, 0.07173661142587662"
1733857827.874555,"-0.06646930426359177, -1.2433202266693115, 0.694049596786499, 0.3173518776893616, 0.2445395439863205, 0.8532652854919434, 0.06842704862356186"
1733857827.9105983,"-0.06598993390798569, -1.238940715789795, 0.683716356754303, 0.3173518776893616, 0.24743302166461945, 0.8491024971008301, 0.06128253415226936"
1733857827.9423547,"-0.06540127098560333, -1.2335679531097412, 0.6709574460983276, 0.3174093961715698, 0.25112417340278625, 0.844337522983551, 0.051986608654260635"
1733857827.9798071,"-0.06513857841491699, -1.2308872938156128, 0.6651704907417297, 0.3174707591533661, 0.2529131770133972, 0.8419502973556519, 0.04768187552690506"
1733857828.0102649,"-0.06464770436286926, -1.2256141901016235, 0.6524672508239746, 0.317773699760437, 0.256738543510437, 0.8376743197441101, 0.03869274631142616"
1733857828.0437193,"-0.0641721710562706, -1.2203296422958374, 0.6400458216667175, 0.31827032566070557, 0.2603280544281006, 0.8332967162132263, 0.02953680045902729"
1733857828.0804963,"-0.06392289698123932, -1.2177717685699463, 0.6344525218009949, 0.31863465905189514, 0.2621208727359772, 0.831141471862793, 0.02524932287633419"
1733857828.1108646,"-0.06347420811653137, -1.2131065130233765, 0.6228000521659851, 0.31923481822013855, 0.26529622077941895, 0.8271128535270691, 0.017194006592035294"
1733857828.1441092,"-0.06308304518461227, -1.2087538242340088, 0.6128330230712891, 0.3195205330848694, 0.2684926688671112, 0.8233488202095032, 0.009583544917404652"
1733857828.1780717,"-0.06288554519414902, -1.2066503763198853, 0.608246386051178, 0.3196087181568146, 0.26985982060432434, 0.8215272426605225, 0.005994029808789492"
1733857828.212664,"-0.06248478963971138, -1.20276939868927, 0.5991575717926025, 0.31988292932510376, 0.27251359820365906, 0.8182272911071777, -0.0007995874620974064"
1733857828.243129,"-0.06213005632162094, -1.1989901065826416, 0.5901837944984436, 0.320080429315567, 0.2751808166503906, 0.814725935459137, -0.0072959959506988525"
1733857828.2767494,"-0.061955567449331284, -1.1970783472061157, 0.5857313871383667, 0.3201935589313507, 0.2763485610485077, 0.8133357763290405, -0.010525025427341461"
1733857828.3092582,"-0.061589330434799194, -1.1933737993240356, 0.5773328542709351, 0.32038915157318115, 0.27899467945098877, 0.8098708987236023, -0.016643691807985306"
1733857828.3424766,"-0.061416756361722946, -1.1914466619491577, 0.5729533433914185, 0.32050803303718567, 0.28036758303642273, 0.8084443211555481, -0.019895730540156364"
1733857828.376355,"-0.06108119711279869, -1.1878284215927124, 0.5642824769020081, 0.3206825256347656, 0.28286415338516235, 0.8053149580955505, -0.026043158024549484"
1733857828.4086573,"-0.060691948980093, -1.1837902069091797, 0.5548868775367737, 0.3209356367588043, 0.2857019901275635, 0.8020706176757812, -0.03276391327381134"
1733857828.4423156,"-0.06050211936235428, -1.1820147037506104, 0.5506262183189392, 0.3210430145263672, 0.28701546788215637, 0.8006861805915833, -0.03594308719038963"
1733857828.4774082,"-0.060151223093271255, -1.1782889366149902, 0.5422679781913757, 0.32124626636505127, 0.28940466046333313, 0.7973172068595886, -0.04198122024536133"
1733857828.5109804,"-0.05982333421707153, -1.1745978593826294, 0.5336681008338928, 0.3214111626148224, 0.29208335280418396, 0.7944390773773193, -0.04806920513510704"
1733857828.5435982,"-0.05963733792304993, -1.172791600227356, 0.5291619896888733, 0.32151469588279724, 0.2934275269508362, 0.7927114367485046, -0.05117359757423401"
1733857828.5816708,"-0.05929219350218773, -1.1690372228622437, 0.5206944346427917, 0.3217352032661438, 0.2958550453186035, 0.7895245552062988, -0.05753770098090172"
1733857828.6103866,"-0.05894513055682182, -1.165407419204712, 0.5122383832931519, 0.32193079590797424, 0.2983688414096832, 0.7864316701889038, -0.06356433033943176"
1733857828.6459475,"-0.058772556483745575, -1.163564682006836, 0.5081618428230286, 0.322009414434433, 0.2996823191642761, 0.7846618294715881, -0.06669940054416656"
1733857828.6761465,"-0.05842741206288338, -1.1598966121673584, 0.4991151690483093, 0.3222375810146332, 0.30211177468299866, 0.7818508148193359, -0.07280848175287247"
1733857828.7139046,"-0.05809185281395912, -1.156232237815857, 0.4906686842441559, 0.32241207361221313, 0.3047022819519043, 0.7785009741783142, -0.07884661108255386"
1733857828.7434793,"-0.057905856519937515, -1.1543550491333008, 0.48658445477485657, 0.322523295879364, 0.3060828447341919, 0.7770705819129944, -0.08195100724697113"
1733857828.7811286,"-0.05758180469274521, -1.150757908821106, 0.47801142930984497, 0.3227035403251648, 0.30851614475250244, 0.7740275263786316, -0.08826525509357452"
1733857828.817405,"-0.057242412120103836, -1.1470839977264404, 0.46929267048835754, 0.3229144513607025, 0.3111565113067627, 0.7709212303161621, -0.09453923255205154"
1733857828.8505542,"-0.056881923228502274, -1.1429862976074219, 0.45998138189315796, 0.3231023848056793, 0.3138121962547302, 0.767540693283081, -0.10120438039302826"
1733857828.882928,"-0.05680714175105095, -1.1423228979110718, 0.4582901895046234, 0.32315221428871155, 0.3142896592617035, 0.7668676972389221, -0.10243156552314758"
1733857828.9156113,"-0.056467749178409576, -1.1386107206344604, 0.4499683380126953, 0.3233708143234253, 0.3169683814048767, 0.7639876008033752, -0.1084754541516304"
1733857828.9469059,"-0.056114934384822845, -1.1349598169326782, 0.44107893109321594, 0.32356831431388855, 0.3195722997188568, 0.7607624530792236, -0.11468807607889175"
1733857828.9782293,"-0.05593852698802948, -1.1330997943878174, 0.4368259608745575, 0.32366037368774414, 0.3207937180995941, 0.7590060234069824, -0.11778479814529419"
1733857829.0107174,"-0.05558187514543533, -1.1293895244598389, 0.4281781315803528, 0.3238846957683563, 0.32335165143013, 0.7560358643531799, -0.12397632747888565"
1733857829.0438318,"-0.05520988628268242, -1.125734806060791, 0.4198409616947174, 0.3240668773651123, 0.32594215869903564, 0.7525632977485657, -0.13035385310649872"
